spec,threshold,subset,group,metric,n,n_players,mean_delta,sd_delta,median_delta,ci_lo,ci_hi,rank_biserial,wilcoxon_p,mean_pre,mean_post
harmonised,100,all,NBA_to_EL,pps_over_sxsv,12,8,0.05099274922251804,0.08945328014366041,0.06164546954926198,0.0012759614086169317,0.09638002300655205,0.6666666666666666,0.05224609375,-0.07734796951390689,-0.02635522029138886
harmonised,150,all,ALL,efg,19,9,-0.04212522498401282,0.07370821781850012,-0.04754378887356975,-0.07529492835563331,-0.010346768067758793,-0.3684210526315789,0.02298736572265625,0.5380384577290359,0.49591323274502325
harmonised,150,all,ALL,pps,19,9,-0.08425044996802564,0.14741643563700024,-0.0950875777471395,-0.15058985671126662,-0.020693536135517585,-0.3684210526315789,0.02298736572265625,1.0760769154580718,0.9918264654900465
harmonised,150,all,ALL,sxsv,19,9,-0.009001901664296088,0.06390987886592704,-0.0019875076262589886,-0.0397110268225756,0.01706020301224408,-0.05263157894736842,0.7982521057128906,1.0576354284884644,1.0486335268241682
harmonised,150,all,ALL,smoe,19,9,-0.027191917585201744,0.05286499749761202,-0.01732953835041851,-0.05102081703523894,-0.004720488260857753,-0.3684210526315789,0.044559478759765625,0.0061997770908667265,-0.020992140494335024
harmonised,150,all,ALL,three_rate,19,9,0.025072197732516736,0.16265519625617245,0.02428355957767722,-0.05025054323459925,0.09287053815707785,0.15789473684210525,0.312408447265625,0.4705775668294332,0.49564976456194987
harmonised,150,all,ALL,mean_dist,19,9,0.1656441612310013,0.9627752293962869,0.12110910233915373,-0.2775678298132899,0.570754869079473,0.15789473684210525,0.312408447265625,4.779965565152778,4.94560972638378
harmonised,150,all,ALL,pps_over_sxsv,19,9,-0.07524854830372955,0.12826046579652695,-0.06778321797893727,-0.13269337527934272,-0.0203052659827142,-0.5789473684210527,0.0180816650390625,0.01844148696960765,-0.0568070613341219
harmonised,150,all,EL_to_NBA,efg,15,9,-0.062349003886894655,0.06559333254144234,-0.048648648648648596,-0.09751873583351588,-0.03158232609562247,-0.6,0.00115966796875,0.5532543325094804,0.4909053286225858
harmonised,150,all,EL_to_NBA,pps,15,9,-0.12469800777378931,0.13118666508288468,-0.09729729729729719,-0.19503747166703175,-0.06316465219124494,-0.6,0.00115966796875,1.1065086650189608,0.9818106572451716
harmonised,150,all,EL_to_NBA,sxsv,15,9,-0.018596129160176035,0.06791533322189608,-0.008225763916401618,-0.05154491806022435,0.013163473328585489,-0.2,0.389404296875,1.0603673210806772,1.041771191920501
harmonised,150,all,EL_to_NBA,smoe,15,9,-0.038431444822203654,0.0487930255713876,-0.030449708687751133,-0.06435860999419514,-0.01578913957449263,-0.6,0.0042724609375,0.016884435305726895,-0.021547009516476756
harmonised,150,all,EL_to_NBA,three_rate,15,9,0.04403678685548117,0.1421754361729271,0.02428355957767722,-0.025390851965105654,0.11507608171237238,0.2,0.22930908203125,0.4601803771062535,0.5042171639617345
harmonised,150,all,EL_to_NBA,mean_dist,15,9,0.31406152620580075,0.8520969117875059,0.16871261852368757,-0.10345937076133409,0.727615888124749,0.2,0.1876220703125,4.6970359035811144,5.011097429786916
harmonised,150,all,EL_to_NBA,pps_over_sxsv,15,9,-0.10610187861361325,0.11689767870725545,-0.0826689004131167,-0.16846399998365993,-0.05232931653662226,-0.8666666666666667,0.00042724609375,0.046141343938283605,-0.05996053467532967
